source,target,dist,street_name
13158318937,13158318936,5.24,Oud-Heverleestraat
13158318938,13158318939,5.02,Oud-Heverleestraat
13158318938,13158318940,4.34,Oud-Heverleestraat
13158318939,17056051,27.38,Oud-Heverleestraat
13158318939,13158318938,5.02,Oud-Heverleestraat
13158318940,13158318938,4.34,Oud-Heverleestraat
13158318940,13158318937,4.98,Oud-Heverleestraat
13158318946,13158318936,4.31,Oud-Heverleestraat
13158318946,13158318950,4.47,Oud-Heverleestraat
13158318947,13158318950,5.63,Oud-Heverleestraat
13158318947,13158318951,1.72,Oud-Heverleestraat
13158318948,13158318951,1.72,Oud-Heverleestraat
13158318948,13158318949,5.51,Oud-Heverleestraat
13158318949,13158318948,5.51,Oud-Heverleestraat
13158318949,1470718433,23.55,Oud-Heverleestraat
13158318950,13158318946,4.47,Oud-Heverleestraat
13158318950,13158318947,5.63,Oud-Heverleestraat
13158318951,13158318947,1.72,Oud-Heverleestraat
13158318951,13158318948,1.72,Oud-Heverleestraat
13158318957,13158318961,2.2,Oud-Heverleestraat
13158318957,13158318960,4.78,Oud-Heverleestraat
13158318958,13158318959,6.29,Oud-Heverleestraat
13158318958,13158318961,2.18,Oud-Heverleestraat
13158318959,1470714890,3.91,Oud-Heverleestraat
13158318959,13158318958,6.29,Oud-Heverleestraat
13158318960,13158318957,4.78,Oud-Heverleestraat
13158318960,13021984110,20.47,Oud-Heverleestraat
13158318961,13158318958,2.18,Oud-Heverleestraat
13158318961,13158318957,2.2,Oud-Heverleestraat
13158318967,13158318970,5.78,Oud-Heverleestraat
13158318967,13158318971,3.02,Oud-Heverleestraat
13158318968,13158318971,2.29,Oud-Heverleestraat
13158318968,13158318969,5.45,Oud-Heverleestraat
13158318969,13158318968,5.45,Oud-Heverleestraat
13158318969,1470721934,6.94,Oud-Heverleestraat
13158318970,5445812897,4.66,Oud-Heverleestraat
13158318970,13158318967,5.78,Oud-Heverleestraat
13158318971,13158318967,3.02,Oud-Heverleestraat
13158318971,13158318968,2.29,Oud-Heverleestraat
13158318977,13158318980,6.03,Oud-Heverleestraat
13158318977,13158318981,2.71,Oud-Heverleestraat
13158318978,13158318981,2.7,Oud-Heverleestraat
13158318978,13158318979,6.2,Oud-Heverleestraat
13158318979,13158318978,6.2,Oud-Heverleestraat
13158318979,203289138,21.69,Oud-Heverleestraat
13158318980,1470720297,3.05,Oud-Heverleestraat
13158318980,13158318977,6.03,Oud-Heverleestraat
13158318981,13158318977,2.71,Oud-Heverleestraat
13158318981,13158318978,2.7,Oud-Heverleestraat
13158318987,13158318990,5.69,Oud-Heverleestraat
13158318987,13158318991,2.49,Oud-Heverleestraat
13158318988,13158318991,2.49,Oud-Heverleestraat
13158318988,13158318989,5.6,Oud-Heverleestraat
13158318989,13158318988,5.6,Oud-Heverleestraat
